date,count
2019/5/17 12:50,99.16
2019/5/17 12:55,99.16
2019/5/17 13:00,99.44
2019/5/17 13:05,99.35
2019/5/17 13:10,99.26
2019/5/17 13:15,99.2
2019/5/17 13:20,99.4
2019/5/17 13:25,99.33
2019/5/17 13:30,99.24
2019/5/17 13:35,99.32
2019/5/17 13:40,99.27
2019/5/17 13:45,99.33
2019/5/17 13:50,99.33
2019/5/17 13:55,99.3
2019/5/17 14:00,99.27
2019/5/17 14:05,99.41
2019/5/17 14:10,99.3
2019/5/17 14:15,99.26
2019/5/17 14:20,99.24
2019/5/17 14:25,99.2
2019/5/17 14:30,99.41
2019/5/17 14:35,99.43
2019/5/17 14:40,99.24
2019/5/17 14:45,99.33
2019/5/17 14:50,99.4
2019/5/17 14:55,99.27
2019/5/17 15:00,99.27
2019/5/17 15:05,99.33
2019/5/17 15:10,99.29
2019/5/17 15:15,99.32
2019/5/17 15:20,99.4
2019/5/17 15:25,99.24
2019/5/17 15:30,99.33
2019/5/17 15:35,99.32
2019/5/17 15:40,99.35
2019/5/17 15:45,99.27
2019/5/17 15:50,99.27
2019/5/17 15:55,99.35
2019/5/17 16:00,99.23
2019/5/17 16:05,99.24
2019/5/17 16:10,99.3
2019/5/17 16:15,99.33
2019/5/17 16:20,99.21
2019/5/17 16:25,99.43
2019/5/17 16:30,99.24
2019/5/17 16:35,99.26
2019/5/17 16:40,99.32
2019/5/17 16:45,99.21
2019/5/17 16:50,99.32
2019/5/17 16:55,99.33
2019/5/17 17:00,99.18
2019/5/17 17:05,99.26
2019/5/17 17:10,99.32
2019/5/17 17:15,99.3
2019/5/17 17:20,99.32
2019/5/17 17:25,99.26
2019/5/17 17:30,99.32
2019/5/17 17:35,99.23
2019/5/17 17:40,99.37
2019/5/17 17:45,99.38
2019/5/17 17:50,99.37
2019/5/17 17:55,99.38
2019/5/17 18:00,99.46
2019/5/17 18:05,99.33
2019/5/17 18:10,99.41
2019/5/17 18:15,99.23
2019/5/17 18:20,99.41
2019/5/17 18:25,99.3
2019/5/17 18:30,99.33
2019/5/17 18:35,99.38
2019/5/17 18:40,99.18
2019/5/17 18:45,99.43
2019/5/17 18:50,99.29
2019/5/17 18:55,99.4
2019/5/17 19:00,99.32
2019/5/17 19:05,99.26
2019/5/17 19:10,99.3
2019/5/17 19:15,99.33
2019/5/17 19:20,99.44
2019/5/17 19:25,99.41
2019/5/17 19:30,99.37
2019/5/17 19:35,99.3
2019/5/17 19:40,99.46
2019/5/17 19:45,99.32
2019/5/17 19:50,99.26
2019/5/17 19:55,99.32
2019/5/17 20:00,99.18
2019/5/17 20:05,99.12
2019/5/17 20:10,99.15
2019/5/17 20:15,99.21
2019/5/17 20:20,99.26
2019/5/17 20:25,99.29
2019/5/17 20:30,99.24
2019/5/17 20:35,99.3
2019/5/17 20:40,99.38
2019/5/17 20:45,99.32
2019/5/17 20:50,99.21
2019/5/17 20:55,99.32
2019/5/17 21:00,99.24
2019/5/17 21:05,99.26
2019/5/17 21:10,99.27
2019/5/17 21:15,99.26
2019/5/17 21:20,99.3
2019/5/17 21:25,99.24
2019/5/17 21:30,99.29
2019/5/17 21:35,99.18
2019/5/17 21:40,99.33
2019/5/17 21:45,99.26
2019/5/17 21:50,99.23
2019/5/17 21:55,99.27
2019/5/17 22:00,99.32
2019/5/17 22:05,99.18
2019/5/17 22:10,99.18
2019/5/17 22:15,99.26
2019/5/17 22:20,99.32
2019/5/17 22:25,99.23
2019/5/17 22:30,99.35
2019/5/17 22:35,99.29
2019/5/17 22:40,99.35
2019/5/17 22:45,99.2
2019/5/17 22:50,99.29
2019/5/17 22:55,99.27
2019/5/17 23:00,99.38
2019/5/17 23:05,99.3
2019/5/17 23:10,99.23
2019/5/17 23:15,99.33
2019/5/17 23:20,99.24
2019/5/17 23:25,99.35
2019/5/17 23:30,99.27
2019/5/17 23:35,99.32
2019/5/17 23:40,99.3
2019/5/17 23:45,99.3
2019/5/17 23:50,99.43
2019/5/17 23:55,99.23
2019/5/18 0:05,99.41
2019/5/18 0:10,99.35
2019/5/18 0:15,99.33
2019/5/18 0:20,99.2
2019/5/18 0:25,99.41
2019/5/18 0:30,99.35
2019/5/18 0:35,99.33
2019/5/18 0:40,99.3
2019/5/18 0:45,99.4
2019/5/18 0:50,99.24
2019/5/18 0:55,99.32
2019/5/18 1:00,99.35
2019/5/18 1:05,99.27
2019/5/18 1:10,99.33
2019/5/18 1:15,99.24
2019/5/18 1:20,99.24
2019/5/18 1:25,99.41
2019/5/18 1:30,99.33
2019/5/18 1:35,99.3
2019/5/18 1:40,99.27
2019/5/18 1:45,99.3
2019/5/18 1:50,99.29
2019/5/18 1:55,99.32
2019/5/18 2:00,99.35
2019/5/18 2:05,99.21
2019/5/18 2:10,99.26
2019/5/18 2:15,99.35
2019/5/18 2:20,99.18
2019/5/18 2:25,99.37
2019/5/18 2:30,99.33
2019/5/18 2:35,99.27
2019/5/18 2:40,99.35
2019/5/18 2:45,99.37
2019/5/18 2:50,99.32
2019/5/18 2:55,99.33
2019/5/18 3:00,99.29
2019/5/18 3:05,99.37
2019/5/18 3:10,99.44
2019/5/18 3:15,99.33
2019/5/18 3:20,99.23
2019/5/18 3:25,99.23
2019/5/18 3:30,99.26
2019/5/18 3:35,99.26
2019/5/18 3:40,99.38
2019/5/18 3:45,99.2
2019/5/18 3:50,99.3
2019/5/18 3:55,99.29
2019/5/18 4:00,99.29
2019/5/18 4:05,99.3
2019/5/18 4:10,99.33
2019/5/18 4:15,99.44
2019/5/18 4:20,99.3
2019/5/18 4:25,99.34
2019/5/18 4:30,99.29
2019/5/18 4:35,99.29
